2024-11-24 15:26:10,549 | __main__ | INFO | account info: {"accounts":["All","U5246790","U7993843"],"acctProps":{"All":{"hasChildAccounts":false,"supportsCashQty":false,"supportsFractions":false},"U5246790":{"hasChildAccounts":false,"supportsCashQty":true,"liteUnderPro":false,"noFXConv":false,"isProp":false,"supportsFractions":true,"allowCustomerTime":false},"U7993843":{"hasChildAccounts":false,"supportsCashQty":true,"liteUnderPro":false,"noFXConv":false,"isProp":false,"supportsFractions":true,"allowCustomerTime":false}},"aliases":{"All":"All","U5246790":"U5246790","U7993843":"U7993843"},"allowFeatures":{"showGFIS":true,"showEUCostReport":false,"allowEventContract":true,"allowFXConv":true,"allowFinancialLens":true,"allowMTA":false,"allowTypeAhead":true,"allowEventTrading":true,"snapshotRefreshTimeout":30,"liteUser":false,"showWebNews":true,"research":true,"debugPnl":true,"showTaxOpt":true,"showImpactDashboard":true,"allowDynAccount":false,"allowCrypto":false,"allowFA":false,"allowLiteUnderPro":false,"allowedAssetTypes":"STK,CFD,OPT,FOP,WAR,FUT,BAG,PDC,CASH,IND,BOND,BILL,FUND,SLB,News,CMDTY,IOPT,ICU,ICS,PHYSS,CRYPTO"},"chartPeriods":{"STK":["*"],"CFD":["*"],"OPT":["2h","1d","2d","1w","1m"],"FOP":["2h","1d","2d","1w","1m"],"WAR":["*"],"IOPT":["*"],"FUT":["*"],"CASH":["*"],"IND":["*"],"BOND":["*"],"FUND":["*"],"CMDTY":["*"],"PHYSS":["*"],"CRYPTO":["*"]},"groups":["All"],"profiles":[],"selectedAccount":"All","serverInfo":{"serverName":"JifH05054","serverVersion":"Build 10.32.1b, Nov 22, 2024 1:27:16 PM"},"sessionId":"67419c48.00000057","isFT":false,"isPaper":false}
2024-11-24 15:26:10,551 | __main__ | DEBUG | account info: "{\"accounts\":[\"All\",\"U5246790\",\"U7993843\"],\"acctProps\":{\"All\":{\"hasChildAccounts\":false,\"supportsCashQty\":false,\"supportsFractions\":false},\"U5246790\":{\"hasChildAccounts\":false,\"supportsCashQty\":true,\"liteUnderPro\":false,\"noFXConv\":false,\"isProp\":false,\"supportsFractions\":true,\"allowCustomerTime\":false},\"U7993843\":{\"hasChildAccounts\":false,\"supportsCashQty\":true,\"liteUnderPro\":false,\"noFXConv\":false,\"isProp\":false,\"supportsFractions\":true,\"allowCustomerTime\":false}},\"aliases\":{\"All\":\"All\",\"U5246790\":\"U5246790\",\"U7993843\":\"U7993843\"},\"allowFeatures\":{\"showGFIS\":true,\"showEUCostReport\":false,\"allowEventContract\":true,\"allowFXConv\":true,\"allowFinancialLens\":true,\"allowMTA\":false,\"allowTypeAhead\":true,\"allowEventTrading\":true,\"snapshotRefreshTimeout\":30,\"liteUser\":false,\"showWebNews\":true,\"research\":true,\"debugPnl\":true,\"showTaxOpt\":true,\"showImpactDashboard\":true,\"allowDynAccount\":false,\"allowCrypto\":false,\"allowFA\":false,\"allowLiteUnderPro\":false,\"allowedAssetTypes\":\"STK,CFD,OPT,FOP,WAR,FUT,BAG,PDC,CASH,IND,BOND,BILL,FUND,SLB,News,CMDTY,IOPT,ICU,ICS,PHYSS,CRYPTO\"},\"chartPeriods\":{\"STK\":[\"*\"],\"CFD\":[\"*\"],\"OPT\":[\"2h\",\"1d\",\"2d\",\"1w\",\"1m\"],\"FOP\":[\"2h\",\"1d\",\"2d\",\"1w\",\"1m\"],\"WAR\":[\"*\"],\"IOPT\":[\"*\"],\"FUT\":[\"*\"],\"CASH\":[\"*\"],\"IND\":[\"*\"],\"BOND\":[\"*\"],\"FUND\":[\"*\"],\"CMDTY\":[\"*\"],\"PHYSS\":[\"*\"],\"CRYPTO\":[\"*\"]},\"groups\":[\"All\"],\"profiles\":[],\"selectedAccount\":\"All\",\"serverInfo\":{\"serverName\":\"JifH05054\",\"serverVersion\":\"Build 10.32.1b, Nov 22, 2024 1:27:16 PM\"},\"sessionId\":\"67419c48.00000057\",\"isFT\":false,\"isPaper\":false}"
2024-11-24 15:26:10,829 | __main__ | DEBUG | order request status: 200
2024-11-24 15:26:10,829 | __main__ | INFO | order info: {"orders":[],"snapshot":true}
2024-11-24 15:26:32,289 | __main__ | DEBUG | account request status: 200
2024-11-24 15:26:32,290 | __main__ | INFO | account info: {"accounts":["All","U5246790","U7993843"],"acctProps":{"All":{"hasChildAccounts":false,"supportsCashQty":false,"supportsFractions":false},"U5246790":{"hasChildAccounts":false,"supportsCashQty":true,"liteUnderPro":false,"noFXConv":false,"isProp":false,"supportsFractions":true,"allowCustomerTime":false},"U7993843":{"hasChildAccounts":false,"supportsCashQty":true,"liteUnderPro":false,"noFXConv":false,"isProp":false,"supportsFractions":true,"allowCustomerTime":false}},"aliases":{"All":"All","U5246790":"U5246790","U7993843":"U7993843"},"allowFeatures":{"showGFIS":true,"showEUCostReport":false,"allowEventContract":true,"allowFXConv":true,"allowFinancialLens":true,"allowMTA":false,"allowTypeAhead":true,"allowEventTrading":true,"snapshotRefreshTimeout":30,"liteUser":false,"showWebNews":true,"research":true,"debugPnl":true,"showTaxOpt":true,"showImpactDashboard":true,"allowDynAccount":false,"allowCrypto":false,"allowFA":false,"allowLiteUnderPro":false,"allowedAssetTypes":"STK,CFD,OPT,FOP,WAR,FUT,BAG,PDC,CASH,IND,BOND,BILL,FUND,SLB,News,CMDTY,IOPT,ICU,ICS,PHYSS,CRYPTO"},"chartPeriods":{"STK":["*"],"CFD":["*"],"OPT":["2h","1d","2d","1w","1m"],"FOP":["2h","1d","2d","1w","1m"],"WAR":["*"],"IOPT":["*"],"FUT":["*"],"CASH":["*"],"IND":["*"],"BOND":["*"],"FUND":["*"],"CMDTY":["*"],"PHYSS":["*"],"CRYPTO":["*"]},"groups":["All"],"profiles":[],"selectedAccount":"All","serverInfo":{"serverName":"JifH05054","serverVersion":"Build 10.32.1b, Nov 22, 2024 1:27:16 PM"},"sessionId":"67419c48.00000057","isFT":false,"isPaper":false}
2024-11-24 15:26:32,293 | __main__ | DEBUG | account info: "{\"accounts\":[\"All\",\"U5246790\",\"U7993843\"],\"acctProps\":{\"All\":{\"hasChildAccounts\":false,\"supportsCashQty\":false,\"supportsFractions\":false},\"U5246790\":{\"hasChildAccounts\":false,\"supportsCashQty\":true,\"liteUnderPro\":false,\"noFXConv\":false,\"isProp\":false,\"supportsFractions\":true,\"allowCustomerTime\":false},\"U7993843\":{\"hasChildAccounts\":false,\"supportsCashQty\":true,\"liteUnderPro\":false,\"noFXConv\":false,\"isProp\":false,\"supportsFractions\":true,\"allowCustomerTime\":false}},\"aliases\":{\"All\":\"All\",\"U5246790\":\"U5246790\",\"U7993843\":\"U7993843\"},\"allowFeatures\":{\"showGFIS\":true,\"showEUCostReport\":false,\"allowEventContract\":true,\"allowFXConv\":true,\"allowFinancialLens\":true,\"allowMTA\":false,\"allowTypeAhead\":true,\"allowEventTrading\":true,\"snapshotRefreshTimeout\":30,\"liteUser\":false,\"showWebNews\":true,\"research\":true,\"debugPnl\":true,\"showTaxOpt\":true,\"showImpactDashboard\":true,\"allowDynAccount\":false,\"allowCrypto\":false,\"allowFA\":false,\"allowLiteUnderPro\":false,\"allowedAssetTypes\":\"STK,CFD,OPT,FOP,WAR,FUT,BAG,PDC,CASH,IND,BOND,BILL,FUND,SLB,News,CMDTY,IOPT,ICU,ICS,PHYSS,CRYPTO\"},\"chartPeriods\":{\"STK\":[\"*\"],\"CFD\":[\"*\"],\"OPT\":[\"2h\",\"1d\",\"2d\",\"1w\",\"1m\"],\"FOP\":[\"2h\",\"1d\",\"2d\",\"1w\",\"1m\"],\"WAR\":[\"*\"],\"IOPT\":[\"*\"],\"FUT\":[\"*\"],\"CASH\":[\"*\"],\"IND\":[\"*\"],\"BOND\":[\"*\"],\"FUND\":[\"*\"],\"CMDTY\":[\"*\"],\"PHYSS\":[\"*\"],\"CRYPTO\":[\"*\"]},\"groups\":[\"All\"],\"profiles\":[],\"selectedAccount\":\"All\",\"serverInfo\":{\"serverName\":\"JifH05054\",\"serverVersion\":\"Build 10.32.1b, Nov 22, 2024 1:27:16 PM\"},\"sessionId\":\"67419c48.00000057\",\"isFT\":false,\"isPaper\":false}"
2024-11-24 15:26:32,773 | __main__ | DEBUG | order request status: 200
2024-11-24 15:26:32,773 | __main__ | INFO | order info: {"orders":[],"snapshot":true}
2024-11-24 15:26:33,065 | __main__ | DEBUG | trades request status: 200
